ip.src;ip.dst;ipv6.src;ipv6.dst;tcp.srcport;tcp.dstport;udp.srcport;udp.dstport;frame.len;tcp.len;udp.length;tcp.flags.syn;tcp.flags.ack;tcp.flags.fin;tcp.flags.reset;tcp.flags.push;tcp.flags.urg;tcp.flags.cwr;tcp.flags.ece
0;0;2600:1419:3e00:3::214:b64d;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;38450.0;0.0;0.0;712.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2600:1419:3e00:3::214:b64d;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;39046.0;0.0;0.0;2933.0;1033.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2600:1901:0:38d7::;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;80.0;39240.0;0.0;0.0;2420.0;864.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2600:1901:0:38d7::;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;80.0;39244.0;0.0;0.0;1980.0;596.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2600:1901:0:38d7::;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;80.0;46740.0;0.0;0.0;1980.0;596.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2600:1901:0:38d7::;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;80.0;46750.0;0.0;0.0;482.0;216.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2600:1901:0:38d7::;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;80.0;46762.0;0.0;0.0;2118.0;648.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2600:1901:0:92a9::;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;34962.0;0.0;0.0;522.0;92.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2600:1901:0:d29a::;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;58604.0;0.0;0.0;4431.0;3563.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2600:1901:0:d29a::;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;58606.0;0.0;0.0;14661.0;11557.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2600:1901:0:d29a::;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;58608.0;0.0;0.0;4431.0;3563.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2600:1901:0:d29a::;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;58612.0;0.0;0.0;4431.0;3563.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2600:1901:0:d29a::;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;58618.0;0.0;0.0;4431.0;3563.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2600:1901:0:d29a::;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;58624.0;0.0;0.0;4345.0;3563.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2620:2d:4000:1::40;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;123.0;123.0;1870.0;0.0;952.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2620:2d:4002:1::196;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;80.0;40034.0;0.0;0.0;505.0;79.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2620:2d:4002:1::196;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;80.0;48746.0;0.0;0.0;505.0;79.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2620:2d:4002:1::197;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;80.0;33508.0;0.0;0.0;505.0;79.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
